STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,HI,High level of educational attainment,_T,Total,_T,Total,2024,,74.36816246848359,,A,Normal value,,,,,0,Units,,,2,Two,M_HI,Male aged 16-74 with a high high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,HI,High level of educational attainment,_T,Total,_T,Total,2021,,79.75069316,,A,Normal value,,,,,0,Units,,,2,Two,M_HI,Male aged 16-74 with a high high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,HI,High level of educational attainment,_T,Total,_T,Total,2022,,82.54157403,,A,Normal value,,,,,0,Units,,,2,Two,M_HI,Male aged 16-74 with a high high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,HI,High level of educational attainment,_T,Total,_T,Total,2023,,76.56493417,,A,Normal value,,,,,0,Units,,,2,Two,M_HI,Male aged 16-74 with a high high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,ME,Middle level of educational attainment,_T,Total,_T,Total,2022,,62.08975669,,A,Normal value,,,,,0,Units,,,2,Two,M_ME,Male aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,ME,Middle level of educational attainment,_T,Total,_T,Total,2021,,62.41526079,,A,Normal value,,,,,0,Units,,,2,Two,M_ME,Male aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,ME,Middle level of educational attainment,_T,Total,_T,Total,2024,,57.13580161426458,,A,Normal value,,,,,0,Units,,,2,Two,M_ME,Male aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,ME,Middle level of educational attainment,_T,Total,_T,Total,2023,,59.76748173,,A,Normal value,,,,,0,Units,,,2,Two,M_ME,Male aged 16-74 with a middle level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,_T,Total,_T,Total,_T,Total,2024,,66.04772735357156,,A,Normal value,,,,,0,Units,,,2,Two,M_Y16_74,Male aged 16-74
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,KOR,Korea,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,M,Male,_T,Total,_T,Total,_T,Total,2021,,69.62214818,,A,Normal value,,,,,0,Units,,,2,Two,M_Y16_74,Male aged 16-74
